	sequence_id	Assembly	Domain	Temperature	cluster_id	genus	species	tax_cluster_id	len
56	GCA_000023465.1	GCA_000023465.1	Bacteria	Psychrophiles	Bacteria_Temperature	Zunongwangia	Zunongwangia profunda	655815.0	100009
57	GCA_000023945.1	GCA_000023945.1	Archaea	Mesophiles	Archaea_Temperature	Halorhabdus	Halorhabdus utahensis	519442.0	100009
58	GCA_000023965.1	GCA_000023965.1	Archaea	Mesophiles	Archaea_Temperature	Halomicrobium	Halomicrobium mukohataei	485914.0	100009
59	GCA_000023985.1	GCA_000023985.1	Archaea	Thermophiles	Archaea_Temperature	Methanocaldococcus	Methanocaldococcus fervens	573064.0	100009
60	GCA_000024285.1	GCA_000024285.1	Bacteria	Thermophiles	Bacteria_Temperature	Alicyclobacillus	Alicyclobacillus acidocaldarius	521098.0	100009
61	GCA_000024605.1	GCA_000024605.1	Bacteria	Thermophiles	Bacteria_Temperature	Ammonifex	Ammonifex degensii	429009.0	100009
62	GCA_000024625.1	GCA_000024625.1	Archaea	Thermophiles	Archaea_Temperature	Methanocaldococcus	Methanocaldococcus vulcanius	579137.0	100009
63	GCA_000024845.1	GCA_000024845.1	Bacteria	Thermophiles	Bacteria_Temperature	Rhodothermus	Rhodothermus marinus	518766.0	100009
64	GCA_000025325.1	GCA_000025325.1	Archaea	Thermophiles	Archaea_Temperature	Haloterrigena	Haloterrigena turkmenica	543526.0	100009
65	GCA_000025505.1	GCA_000025505.1	Archaea	Hyperthermophiles	Archaea_Temperature	Ferroglobus	Ferroglobus placidus	589924.0	100009
66	GCA_000025605.1	GCA_000025605.1	Bacteria	Thermophiles	Bacteria_Temperature	Thermocrinis	Thermocrinis albus	638303.0	100009
67	GCA_000025665.1	GCA_000025665.1	Archaea	Thermophiles	Archaea_Temperature	Aciduliprofundum	Aciduliprofundum boonei	439481.0	100009
68	GCA_000025685.1	GCA_000025685.1	Archaea	Mesophiles	Archaea_Temperature	Haloferax	Haloferax volcanii	309800.0	100009
69	GCA_000025865.1	GCA_000025865.1	Archaea	Mesophiles	Archaea_Temperature	Methanohalophilus	Methanohalophilus mahii	547558.0	100009
70	GCA_000026225.1	GCA_000026225.1	Bacteria	Mesophiles	Bacteria_Temperature	Escherichia	Escherichia fergusonii	564.0	100009
71	GCA_000027065.2	GCA_000027065.2	Bacteria	Mesophiles	Bacteria_Temperature	Cronobacter	Cronobacter turicensis	1208590.0	100009
72	GCA_000027145.1	GCA_000027145.1	Bacteria	Mesophiles	Bacteria_Temperature	Listeria	Listeria seeligeri	1640.0	100009
73	GCA_000060285.1	GCA_000060285.1	Bacteria	Mesophiles	Bacteria_Temperature	Listeria	Listeria welshimeri	1643.0	100009
74	GCA_000091325.1	GCA_000091325.1	Bacteria	Psychrophiles	Bacteria_Temperature	Shewanella	Shewanella violacea	637905.0	100009
75	GCA_000091545.1	GCA_000091545.1	Bacteria	Thermophiles	Bacteria_Temperature	Thermus	Thermus thermophilus	274.0	100012
76	GCA_000091665.1	GCA_000091665.1	Archaea	Thermophiles	Archaea_Temperature	Methanocaldococcus	Methanocaldococcus jannaschii	2190.0	100009
77	GCA_000092125.1	GCA_000092125.1	Bacteria	Thermophiles	Bacteria_Temperature	Meiothermus_B	Meiothermus_B silvanus	526227.0	100009
78	GCA_000092425.1	GCA_000092425.1	Bacteria	Thermophiles	Bacteria_Temperature	Truepera	Truepera radiovictrix	649638.0	100009
79	GCA_000144915.1	GCA_000144915.1	Archaea	Thermophiles	Archaea_Temperature	Acidilobus	Acidilobus saccharovorans	666510.0	100009
80	GCA_000145215.1	GCA_000145215.1	Bacteria	Thermophiles	Bacteria_Temperature	Caldicellulosiruptor	Caldicellulosiruptor obsidiansis	608506.0	100009
81	GCA_000145295.1	GCA_000145295.1	Archaea	Thermophiles	Archaea_Temperature	Methanothermobacter	Methanothermobacter marburgensis	2603820.0	100009
82	GCA_000145615.1	GCA_000145615.1	Bacteria	Thermophiles	Bacteria_Temperature	Thermoanaerobacterium	Thermoanaerobacterium thermosaccharolyticum	1517.0	100009
83	GCA_000145985.1	GCA_000145985.1	Archaea	Hyperthermophiles	Archaea_Temperature	Ignisphaera	Ignisphaera aggregans	334771.0	100009
84	GCA_000147695.3	GCA_000147695.3	Bacteria	Thermophiles	Bacteria_Temperature	Thermoanaerobacter	Thermoanaerobacter wiegelii	697303.0	100009
85	GCA_000147875.1	GCA_000147875.1	Archaea	Mesophiles	Archaea_Temperature	Methanolacinia	Methanolacinia petrolearia	679926.0	100009
86	GCA_000148385.1	GCA_000148385.1	Archaea	Hyperthermophiles	Archaea_Temperature	Vulcanisaeta	Vulcanisaeta distributa	572478.0	100009
87	GCA_000148995.1	GCA_000148995.1	Bacteria	Mesophiles	Bacteria_Temperature	Listeria	Listeria grayi	1641.0	100009
88	GCA_000151105.2	GCA_000151105.2	Archaea	Hyperthermophiles	Archaea_Temperature	Thermococcus_B	Thermococcus_B barophilus	391623.0	100009
89	GCA_000151205.2	GCA_000151205.2	Archaea	Hyperthermophiles	Archaea_Temperature	Thermococcus	Thermococcus sp000151205	246969.0	100009
90	GCA_000153225.1	GCA_000153225.1	Bacteria	Psychrophiles	Bacteria_Temperature	Polaribacter	Polaribacter irgensii	313594.0	100009
91	GCA_000153485.2	GCA_000153485.2	Bacteria	Psychrophiles	Bacteria_Temperature	Psychroflexus	Psychroflexus torquis	313595.0	100009
92	GCA_000166095.1	GCA_000166095.1	Archaea	Hyperthermophiles	Archaea_Temperature	Methanothermus	Methanothermus fervidus	523846.0	100009
93	GCA_000166335.1	GCA_000166335.1	Bacteria	Thermophiles	Bacteria_Temperature	Caldicellulosiruptor	Caldicellulosiruptor owensensis	632518.0	100009
94	GCA_000166355.1	GCA_000166355.1	Bacteria	Thermophiles	Bacteria_Temperature	Caldicellulosiruptor	Caldicellulosiruptor hydrothermalis	632292.0	100009
95	GCA_000166775.1	GCA_000166775.1	Bacteria	Thermophiles	Bacteria_Temperature	Caldicellulosiruptor	Caldicellulosiruptor kronotskyensis	632348.0	100009
96	GCA_000172995.2	GCA_000172995.2	Archaea	Thermophiles	Archaea_Temperature	Halogeometricum	Halogeometricum borinquense	469382.0	100009
97	GCA_000175575.2	GCA_000175575.2	Bacteria	Thermophiles	Bacteria_Temperature	Acidithiobacillus_A	Acidithiobacillus_A caldus	637389.0	100009
98	GCA_000179575.2	GCA_000179575.2	Archaea	Thermophiles	Archaea_Temperature	Methanothermococcus_A	Methanothermococcus_A okinawensis	647113.0	100009
99	GCA_000186365.1	GCA_000186365.1	Archaea	Hyperthermophiles	Archaea_Temperature	Desulfurococcus	Desulfurococcus mucosus	765177.0	100009
100	GCA_000188055.3	GCA_000188055.3	Bacteria	Mesophiles	Bacteria_Temperature	Streptococcus	Streptococcus urinalis	764291.0	100009
101	GCA_000188295.1	GCA_000188295.1	Bacteria	Mesophiles	Bacteria_Temperature	Streptococcus	Streptococcus vestibularis	1343.0	104157
102	GCA_000190315.1	GCA_000190315.1	Archaea	Hyperthermophiles	Archaea_Temperature	Vulcanisaeta	Vulcanisaeta moutnovskia	985053.0	100009
103	GCA_000193375.1	GCA_000193375.1	Archaea	Thermophiles	Archaea_Temperature	Thermoproteus	Thermoproteus uzoniensis	999630.0	100009
104	GCA_000195575.1	GCA_000195575.1	Bacteria	Psychrophiles	Bacteria_Temperature	Carnobacterium_A	Carnobacterium_A sp000195575	208596.0	100009
105	GCA_000195915.1	GCA_000195915.1	Archaea	Thermophiles	Archaea_Temperature	Thermoplasma	Thermoplasma acidophilum	273075.0	100009
106	GCA_000195935.2	GCA_000195935.2	Archaea	Hyperthermophiles	Archaea_Temperature	Pyrococcus	Pyrococcus abyssi	272844.0	100009
107	GCA_000196795.1	GCA_000196795.1	Bacteria	Mesophiles	Bacteria_Temperature	Acinetobacter	Acinetobacter oleivorans	436717.0	100009
108	GCA_000196895.1	GCA_000196895.1	Archaea	Thermophiles	Archaea_Temperature	Halalkalicoccus	Halalkalicoccus jeotgali	795797.0	100009
109	GCA_000200715.1	GCA_000200715.1	Archaea	Psychrophiles	Archaea_Temperature	Cenarchaeum	Cenarchaeum symbiosum	414004.0	100030
110	GCA_000204925.1	GCA_000204925.1	Archaea	Thermophiles	Archaea_Temperature	Metallosphaera	Metallosphaera cuprina	1006006.0	100009
111	GCA_000211475.1	GCA_000211475.1	Archaea	Hyperthermophiles	Archaea_Temperature	Pyrococcus	Pyrococcus sp000211475	342949.0	100009
112	GCA_000212395.1	GCA_000212395.1	Bacteria	Thermophiles	Bacteria_Temperature	Thermodesulfobium	Thermodesulfobium narugense	747365.0	100009
113	GCA_000214415.1	GCA_000214415.1	Archaea	Hyperthermophiles	Archaea_Temperature	Methanotorris	Methanotorris igneus	880724.0	100009
114	GCA_000214725.1	GCA_000214725.1	Archaea	Mesophiles	Archaea_Temperature	Methanobacterium_C	Methanobacterium_C paludis	868131.0	100009
115	GCA_000215995.1	GCA_000215995.1	Archaea	Hyperthermophiles	Archaea_Temperature	Pyrococcus	Pyrococcus yayanosii	529709.0	100009
116	GCA_000217815.1	GCA_000217815.1	Bacteria	Thermophiles	Bacteria_Temperature	Pseudothermotoga	Pseudothermotoga thermarum	688269.0	100009
117	GCA_000219875.1	GCA_000219875.1	Bacteria	Thermophiles	Bacteria_Temperature	Alicyclobacillus	Alicyclobacillus acidocaldarius_A	1048834.0	100009
118	GCA_000220175.2	GCA_000220175.2	Archaea	Mesophiles	Archaea_Temperature	Nitrosarchaeum	Nitrosarchaeum koreense	1088740.0	100009
119	GCA_000223395.1	GCA_000223395.1	Archaea	Hyperthermophiles	Archaea_Temperature	Pyrolobus	Pyrolobus fumarii	694429.0	100009
120	GCA_000226295.1	GCA_000226295.1	Bacteria	Thermophiles	Bacteria_Temperature	Chloracidobacterium	Chloracidobacterium thermophilum	458033.0	100009
121	GCA_000234805.1	GCA_000234805.1	Archaea	Hyperthermophiles	Archaea_Temperature	Pyrobaculum	Pyrobaculum ferrireducens	1104324.0	100009
122	GCA_000235405.3	GCA_000235405.3	Bacteria	Thermophiles	Bacteria_Temperature	Fervidobacterium	Fervidobacterium pennivorans	93466.0	100009
123	GCA_000235565.1	GCA_000235565.1	Archaea	Mesophiles	Archaea_Temperature	Methanothrix_A	Methanothrix_A harundinacea_E	1110509.0	100009
124	GCA_000236925.1	GCA_000236925.1	Bacteria	Mesophiles	Bacteria_Temperature	Staphylococcus	Staphylococcus argenteus	985002.0	100009
125	GCA_000243255.1	GCA_000243255.1	Archaea	Mesophiles	Archaea_Temperature	Methanoplanus	Methanoplanus limicola	937775.0	100009
126	GCA_000243315.1	GCA_000243315.1	Archaea	Thermophiles	Archaea_Temperature	Metallosphaera	Metallosphaera yellowstonensis	671065.0	100210
127	GCA_000243455.2	GCA_000243455.2	Archaea	Thermophiles	Archaea_Temperature	Methanotorris	Methanotorris formicicus	647171.0	100014
128	GCA_000246985.3	GCA_000246985.3	Archaea	Hyperthermophiles	Archaea_Temperature	Thermococcus_A	Thermococcus_A litoralis	523849.0	100009
129	GCA_000247545.1	GCA_000247545.1	Archaea	Hyperthermophiles	Archaea_Temperature	Pyrobaculum	Pyrobaculum oguniense	698757.0	100009
130	GCA_000251105.1	GCA_000251105.1	Archaea	Thermophiles	Archaea_Temperature	Methanocella	Methanocella conradii	1041930.0	100009
131	GCA_000252125.2	GCA_000252125.2	Bacteria	Psychrophiles	Bacteria_Temperature	Flavobacterium	Flavobacterium frigoris_A	229204.0	100013
132	GCA_000253055.1	GCA_000253055.1	Archaea	Hyperthermophiles	Archaea_Temperature	Thermoproteus	Thermoproteus tenax	768679.0	100009
133	GCA_000258515.1	GCA_000258515.1	Archaea	Hyperthermophiles	Archaea_Temperature	Thermococcus	Thermococcus zilligii	1151117.0	100009
134	GCA_000264495.1	GCA_000264495.1	Archaea	Hyperthermophiles	Archaea_Temperature	Thermogladius	Thermogladius calderae	1184251.0	100009
135	GCA_000265525.1	GCA_000265525.1	Archaea	Hyperthermophiles	Archaea_Temperature	Thermococcus	Thermococcus cleftensis	163003.0	100009
136	GCA_000275865.1	GCA_000275865.1	Archaea	Mesophiles	Archaea_Temperature	Methanofollis	Methanofollis liminatans	28892.0	100009
137	GCA_000276805.1	GCA_000276805.1	Bacteria	Psychrophiles	Bacteria_Temperature	Moritella	Moritella dasanensis	1201293.0	100009
138	GCA_000298075.1	GCA_000298075.1	Bacteria	Mesophiles	Bacteria_Temperature	Staphylococcus	Staphylococcus massiliensis	1229783.0	103871
139	GCA_000304355.2	GCA_000304355.2	Archaea	Mesophiles	Archaea_Temperature	Methanoculleus	Methanoculleus bourgensis	1201294.0	100009
140	GCA_000306725.1	GCA_000306725.1	Archaea	Psychrophiles	Archaea_Temperature	Methanolobus	Methanolobus psychrophilus		100009
141	GCA_000306765.2	GCA_000306765.2	Archaea	Thermophiles	Archaea_Temperature	Haloferax	Haloferax mediterranei	523841.0	100009
142	GCA_000317795.1	GCA_000317795.1	Archaea	Thermophiles	Archaea_Temperature	Caldisphaera	Caldisphaera lagunensis	1056495.0	100009
143	GCA_000327485.1	GCA_000327485.1	Archaea	Mesophiles	Archaea_Temperature	Methanoregula	Methanoregula formicica	593750.0	100009
144	GCA_000336615.1	GCA_000336615.1	Archaea	Thermophiles	Archaea_Temperature	Haloarcula	Haloarcula amylolytica	1227452.0	100011
145	GCA_000336755.1	GCA_000336755.1	Archaea	Thermophiles	Archaea_Temperature	Haloferax	Haloferax elongans	1230453.0	100009
146	GCA_000336895.1	GCA_000336895.1	Archaea	Mesophiles	Archaea_Temperature	Haloarcula	Haloarcula argentinensis	1230451.0	100009
147	GCA_000336935.1	GCA_000336935.1	Archaea	Mesophiles	Archaea_Temperature	Halococcus	Halococcus salifodinae	1227456.0	100020
148	GCA_000336995.1	GCA_000336995.1	Archaea	Thermophiles	Archaea_Temperature	Halorubrum	Halorubrum aidingense	1230454.0	100014
149	GCA_000337035.1	GCA_000337035.1	Archaea	Mesophiles	Archaea_Temperature	Halorubrum	Halorubrum coriense	1227466.0	100018
150	GCA_000337135.1	GCA_000337135.1	Archaea	Mesophiles	Archaea_Temperature	Natrialba	Natrialba chahannaoensis	1227492.0	100024
151	GCA_000337375.1	GCA_000337375.1	Archaea	Thermophiles	Archaea_Temperature	Halorubrum	Halorubrum lipolyticum	1227482.0	100015
152	GCA_000337475.1	GCA_000337475.1	Archaea	Thermophiles	Archaea_Temperature	Natrinema	Natrinema limicola	1230457.0	100018
153	GCA_000337555.1	GCA_000337555.1	Archaea	Mesophiles	Archaea_Temperature	Natrialba	Natrialba asiatica	29540.0	100009
154	GCA_000337575.1	GCA_000337575.1	Archaea	Mesophiles	Archaea_Temperature	Natrialba	Natrialba hulunbeirensis	1227493.0	100012
155	GCA_000337695.1	GCA_000337695.1	Archaea	Mesophiles	Archaea_Temperature	Natronococcus	Natronococcus jeotgali	1227498.0	100014
156	GCA_000337735.1	GCA_000337735.1	Archaea	Thermophiles	Archaea_Temperature	Natronorubrum	Natronorubrum sulfidifaciens	1230460.0	100014
157	GCA_000337775.1	GCA_000337775.1	Archaea	Thermophiles	Archaea_Temperature	Haloarcula	Haloarcula vallismortis	662477.0	100013
158	GCA_000337795.1	GCA_000337795.1	Archaea	Thermophiles	Archaea_Temperature	Haloferax	Haloferax denitrificans	662478.0	100009
159	GCA_000337815.1	GCA_000337815.1	Archaea	Thermophiles	Archaea_Temperature	Haloferax	Haloferax mucosum	662479.0	100011
160	GCA_000337915.1	GCA_000337915.1	Archaea	Thermophiles	Archaea_Temperature	Halorubrum	Halorubrum saccharovorum	1227484.0	100013
161	GCA_000338275.1	GCA_000338275.1	Bacteria	Mesophiles	Bacteria_Temperature	Staphylococcus	Staphylococcus xylosus_B	1288.0	100014
162	GCA_000344175.1	GCA_000344175.1	Bacteria	Mesophiles	Bacteria_Temperature	Listeria	Listeria fleischmannii	1430899.0	100015
163	GCA_000347775.1	GCA_000347775.1	Bacteria	Mesophiles	Bacteria_Temperature	Marinobacter	Marinobacter santoriniensis	1288826.0	100009
164	GCA_000364845.1	GCA_000364845.1	Bacteria	Mesophiles	Bacteria_Temperature	Marinobacter_A	Marinobacter_A nanhaiticus	626887.0	100009
165	GCA_000368025.1	GCA_000368025.1	Bacteria	Mesophiles	Bacteria_Temperature	Acinetobacter	Acinetobacter parvus	981333.0	100009
166	GCA_000368825.1	GCA_000368825.1	Bacteria	Mesophiles	Bacteria_Temperature	Acinetobacter	Acinetobacter ursingii	981336.0	101323
167	GCA_000369065.1	GCA_000369065.1	Bacteria	Mesophiles	Bacteria_Temperature	Acinetobacter	Acinetobacter haemolyticus	707232.0	100012
168	GCA_000373145.1	GCA_000373145.1	Bacteria	Thermophiles	Bacteria_Temperature	Thermus	Thermus oshimai	1123390.0	100011
169	GCA_000373205.1	GCA_000373205.1	Bacteria	Thermophiles	Bacteria_Temperature	Calidithermus	Calidithermus timidus	1122223.0	100009
170	GCA_000376225.1	GCA_000376225.1	Bacteria	Thermophiles	Bacteria_Temperature	Effusibacillus	Effusibacillus pohliae	1120973.0	100012
171	GCA_000376265.1	GCA_000376265.1	Bacteria	Thermophiles	Bacteria_Temperature	Thermus	Thermus igniterrae	1123388.0	100012
172	GCA_000376425.1	GCA_000376425.1	Bacteria	Thermophiles	Bacteria_Temperature	Thiobacillus	Thiobacillus denitrificans	1123392.0	100014
173	GCA_000378465.1	GCA_000378465.1	Bacteria	Thermophiles	Bacteria_Temperature	Elioraea	Elioraea tepidiphila	1121861.0	100012
174	GCA_000379085.1	GCA_000379085.1	Archaea	Mesophiles	Archaea_Temperature	Halomicrobium	Halomicrobium katesii	1069082.0	100310
175	GCA_000381045.1	GCA_000381045.1	Bacteria	Thermophiles	Bacteria_Temperature	Thermus	Thermus scotoductus	1123391.0	100016
176	GCA_000381745.1	GCA_000381745.1	Bacteria	Psychrophiles	Bacteria_Temperature	Psychromonas	Psychromonas ossibalaenae	1278307.0	100012
177	GCA_000382145.1	GCA_000382145.1	Bacteria	Psychrophiles	Bacteria_Temperature	Psychrobacter	Psychrobacter lutiphocae	1123033.0	100012
178	GCA_000419685.1	GCA_000419685.1	Bacteria	Psychrophiles	Bacteria_Temperature	Flavobacterium	Flavobacterium antarcticum	1111730.0	100011
179	GCA_000420245.1	GCA_000420245.1	Bacteria	Psychrophiles	Bacteria_Temperature	Psychromonas	Psychromonas hadalis	1278302.0	100019
180	GCA_000421625.1	GCA_000421625.1	Bacteria	Thermophiles	Bacteria_Temperature	Thermus	Thermus islandicus	1123389.0	100013
181	GCA_000421725.1	GCA_000421725.1	Bacteria	Thermophiles	Bacteria_Temperature	Caldicellulosiruptor	Caldicellulosiruptor acetigenus	1121259.0	100011
182	GCA_000423425.1	GCA_000423425.1	Bacteria	Thermophiles	Bacteria_Temperature	Meiothermus	Meiothermus rufus	604331.0	100026
183	GCA_000423905.1	GCA_000423905.1	Bacteria	Thermophiles	Bacteria_Temperature	Thermus	Thermus antranikianii	1123386.0	100011
184	GCA_000425165.1	GCA_000425165.1	Bacteria	Psychrophiles	Bacteria_Temperature	Photobacterium	Photobacterium halotolerans	1122959.0	100013
185	GCA_000425485.1	GCA_000425485.1	Bacteria	Psychrophiles	Bacteria_Temperature	Flavobacterium	Flavobacterium tegetincola	1121901.0	101269
